,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[30.],[[[0 0 1 0 0]]],[[11.]],[2],[30.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.63513958  1.         -0.45462784  0.30301222  0.01718019  0.0654805
   0.01393149  0.60039556  0.          0.          0.          0.
   1.          0.2       ]]"
1,[30.],[[[0 0 0 0 1]]],[[17.]],[2],[30.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.89369804  1.         -0.45003581  0.30732638  0.0076743   0.03053718
   0.00736001  0.64710212  0.          0.          0.          0.
   1.          0.3       ]]"
2,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.95483416  0.99806529 -0.18594304  0.51412731  0.00638436  0.02024368
   0.00639017  0.45285451  0.          0.          1.          0.
   0.          0.4       ]]"
3,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[ 0.61274695  0.99585283 -0.09649511  0.5780443   0.01772092  0.04872416
   0.01422862  0.34128204  0.          0.          1.          0.
   0.          0.5       ]]"
4,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[0.31921902 0.99369681 0.00718583 0.61051261 0.03859924 0.09165812
  0.0256607  0.23356934 0.         0.         0.         0.
  1.         0.6       ]]"
5,[30.],[[[1 0 0 0 0]]],[[3.]],[2],[30.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.660622    1.         -0.38019681  0.35745481  0.0162073   0.05801785
   0.01337083  0.55494916  0.          0.          0.          0.
   1.          0.7       ]]"
6,[0.],[[[1 0 0 0 0]]],[[2.]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.83984363  0.99749023 -0.12909997  0.56142521  0.00896879  0.026457
   0.00833752  0.39481154  0.          0.          0.          0.
   1.          0.8       ]]"
7,[0.],[[[1 0 0 0 0]]],[[1.]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[ 0.91982943  0.99682927 -0.01522011  0.65050226  0.0064968   0.0175471
   0.00636925  0.31908455  0.          0.          0.          0.
   1.          0.9       ]]"
8,[0.],[[[0 0 0 0 1]]],[[18.]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[0.95584178 0.99657381 0.05362876 0.69996852 0.00546933 0.0139727
  0.00549265 0.2750968  0.         0.         0.         0.
  1.         1.        ]]"
9,[0.],[[[1 0 0 0 0]]],[[2.]],[0],[60.],[[0 0 0 0 0]],[[[0. 0. 0. 0. 1.]]],[[20.]],"[[0.97181803 0.99639386 0.10006076 0.73098254 0.00496824 0.01220667
  0.00504386 0.24679856 1.         0.         0.         0.
  0.         1.1       ]]"
