,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[15.],[[[0 0 1 0 0]]],[[12.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.23604636  0.9993431  -0.28683484  0.01607163  0.08774742  0.89328432
   0.00157544  0.00132107  0.          0.          1.          0.
   0.          0.2       ]]"
1,[15.],[[[0 1 0 0 0]]],[[8.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-5.65676928e-01  9.99679625e-01 -2.43316323e-01  4.08520084e-03
   1.37867585e-01  8.56718421e-01  7.33204884e-04  5.95628226e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[23.],[[[0 1 0 0 0]]],[[8.]],[3],[7.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-6.94447994e-01  9.99986768e-01 -6.33468390e-01  4.15752409e-04
   2.95321960e-02  9.69569087e-01  2.52830359e-04  2.30224628e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.4220885   0.42708096  0.118673    0.0297624   0.37068129  0.58819181
   0.00554587  0.00581863  0.          1.          0.          0.
   0.          0.5       ]]"
4,[15.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.10983086e-01  9.99961436e-01  4.73460592e-02  2.02196697e-03
   4.51011688e-01  5.46312869e-01  3.78154509e-04  2.75362487e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[23.],[[[0 0 1 0 0]]],[[12.]],[3],[7.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.35418963e-01  9.99988854e-01 -4.40798223e-01  3.13934230e-04
   8.33638161e-02  9.15950179e-01  2.01451476e-04  1.70514686e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.65327632  0.466389    0.08087254  0.00861821  0.39180747  0.5941869
   0.00266355  0.00272393  0.          1.          0.          0.
   0.          0.8       ]]"
7,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-4.40864086e-01  8.25574517e-01  7.97012210e-01  5.97945638e-02
   8.82713556e-01  5.58959506e-02  9.61179729e-04  6.34733529e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[0 1 0 0 0]]],[[6.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-2.10139588e-01  9.58247662e-01  9.70601082e-01  1.86016455e-01
   7.85842896e-01  2.67158262e-02  9.00234154e-04  5.24648465e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 1 0 0 0]]],[[5.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[6.21277988e-02 9.90774155e-01 9.79794264e-01 5.03246725e-01
  4.75213736e-01 1.95901301e-02 1.23542268e-03 7.13895832e-04
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.10000000e+00]]"
