,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],"[[-0.23604636  0.9993431  -0.28683484  0.01607163  0.08774742  0.89328432
   0.00157544  0.00132107  0.          0.          1.          0.
   0.          0.2       ]]"
1,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],"[[-5.65676928e-01  9.99679625e-01 -2.43316323e-01  4.08520084e-03
   1.37867585e-01  8.56718421e-01  7.33204884e-04  5.95628226e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[24.],[[[0 0 1 0 0]]],[[11.]],[3],[8.],[[0 0 0 0 0]],"[[-6.91391110e-01  9.99991477e-01 -6.66395187e-01  3.63474566e-04
   2.54524853e-02  9.73727524e-01  2.37780856e-04  2.18785295e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-0.42948422  0.40366635  0.09307003  0.02676002  0.34547782  0.61601663
   0.00566639  0.00607918  0.          0.          1.          0.
   0.          0.5       ]]"
4,[20.],[[[0 0 1 0 0]]],[[9.]],[3],[6.],[[0 0 0 0 0]],"[[-7.48062372e-01  9.99969900e-01 -4.74273652e-01  6.55863376e-04
   6.18935227e-02  9.36882734e-01  3.04695888e-04  2.63280963e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-0.4335435   0.52073705  0.20413116  0.03465117  0.46979114  0.48690796
   0.00440739  0.00424232  0.          1.          0.          0.
   0.          0.7       ]]"
6,[21.],[[[0 1 0 0 0]]],[[7.]],[4],[0.],[[0 0 0 0 0]],"[[-9.23194051e-01  9.99997854e-01 -1.98591754e-01  8.76737700e-04
   2.13401511e-01  7.85177112e-01  3.05080670e-04  2.39648114e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[21.],[[[0 1 0 0 0]]],[[7.]],[4],[0.],[[0 0 0 0 0]],"[[-9.63666081e-01  9.99992728e-01 -4.39050049e-01  2.76840670e-04
   8.59457180e-02  9.13430631e-01  1.88007034e-04  1.58803188e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[0 0 1 0 0]]],[[9.]],[0],[27.],[[0 0 0 0 0]],"[[-0.68690389  0.45567098  0.06036872  0.00689566  0.3770425   0.61105007
   0.00246363  0.0025481   0.          1.          0.          0.
   0.          1.        ]]"
9,[0.],[[[0 1 0 0 0]]],[[6.]],[0],[18.],[[0 0 0 0 0]],"[[-4.66052592e-01  8.16217065e-01  7.86359310e-01  5.24347164e-02
   8.88140440e-01  5.78733087e-02  9.31560120e-04  6.20011531e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
