,0
0,283.0
1,207.0
2,305.0
3,222.0
4,351.0
5,290.0
6,267.0
7,279.0
8,237.0
9,292.0
10,158.0
11,257.0
12,259.0
13,285.0
14,231.0
15,318.0
16,262.0
17,269.0
18,166.0
19,46.0
20,157.0
21,241.0
22,214.0
23,306.0
24,231.0
25,97.0
26,283.0
27,275.0
28,162.0
29,180.0
30,49.0
31,142.0
32,184.0
33,246.0
34,274.0
35,228.0
36,244.0
37,194.0
38,246.0
39,333.0
40,177.0
41,243.0
42,242.0
43,244.0
44,297.0
45,219.0
46,156.0
47,92.0
48,93.0
49,247.0
50,238.0
51,222.0
52,280.0
53,239.0
54,192.0
55,228.0
56,157.0
57,303.0
58,222.0
59,192.0
60,290.0
61,327.0
62,232.0
63,200.0
64,132.0
65,197.0
66,234.0
67,211.0
68,286.0
69,273.0
70,138.0
71,227.0
72,217.0
73,240.0
74,196.0
75,57.0
76,236.0
77,199.0
78,139.0
79,250.0
80,265.0
81,243.0
82,249.0
83,169.0
84,233.0
85,253.0
86,183.0
87,168.0
88,236.0
89,199.0
90,214.0
91,293.0
92,117.0
93,252.0
94,306.0
95,149.0
96,226.0
97,58.0
98,324.0
99,232.0
100,270.0
101,292.0
102,153.0
103,287.0
104,257.0
105,215.0
106,252.0
107,220.0
108,342.0
109,253.0
110,296.0
111,164.0
112,166.0
113,160.0
114,95.0
115,208.0
116,209.0
117,279.0
118,292.0
119,205.0
120,128.0
121,267.0
122,99.0
123,263.0
124,298.0
125,327.0
126,176.0
127,214.0
128,246.0
129,166.0
130,248.0
131,270.0
132,298.0
133,232.0
134,244.0
135,82.0
136,259.0
137,206.0
138,224.0
139,169.0
140,350.0
141,252.0
142,239.0
143,84.0
144,169.0
145,290.0
146,267.0
147,244.0
148,222.0
149,297.0
150,215.0
151,212.0
152,200.0
153,298.0
154,229.0
155,196.0
156,325.0
157,133.0
158,248.0
159,77.0
160,57.0
161,111.0
162,251.0
163,289.0
164,287.0
165,65.0
166,238.0
167,312.0
168,162.0
169,222.0
170,235.0
171,241.0
172,120.0
173,246.0
174,286.0
175,155.0
176,142.0
177,265.0
178,224.0
179,214.0
180,267.0
181,264.0
182,165.0
183,220.0
184,194.0
185,270.0
186,252.0
187,226.0
188,300.0
189,186.0
190,360.0
191,237.0
192,264.0
193,242.0
194,137.0
195,297.0
196,172.0
197,346.0
198,234.0
199,281.0
