,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[27.],[[[0 0 0 0 1]]],[[18.]],[2],[27.],[[0 0 0 0 0]],"[[ 0.63182318  1.         -0.4162848   0.32992402  0.017554    0.06458426
   0.01420905  0.57372862  1.          0.          0.          0.
   0.          0.2       ]]"
1,[0.],[[[1 0 0 0 0]]],[[0.001]],[4],[0.],[[0 0 0 0 0]],"[[ 0.85182405  0.99011743 -0.20393777  0.4975211   0.00893438  0.02834665
   0.00838448  0.45681334  1.          0.          0.          0.
   0.          0.3       ]]"
2,[6.],[[[1 0 0 0 0]]],[[2.]],[4],[0.],[[0 0 0 0 0]],"[[ 0.91308969  0.99999374 -0.11122572  0.57664639  0.00704813  0.02071267
   0.00686651  0.38872626  1.          0.          0.          0.
   0.          0.4       ]]"
3,[0.],[[[1 0 0 0 0]]],[[0.001]],[4],[0.],[[0 0 0 0 0]],"[[0.93397373 0.98837328 0.01894527 0.67295885 0.00609017 0.01604281
  0.00604401 0.29886407 0.         0.         1.         0.
  0.         0.5       ]]"
4,[0.],[[[0 0 1 0 0]]],[[11.]],[0],[33.],[[0 0 0 0 0]],"[[0.51712322 0.99351811 0.08310749 0.69785786 0.02048847 0.04709678
  0.01549852 0.21905835 1.         0.         0.         0.
  0.         0.6       ]]"
5,[6.],[[[1 0 0 0 0]]],[[2.]],[4],[0.],[[0 0 0 0 0]],"[[0.69795245 0.99998897 0.13564077 0.74849218 0.01115959 0.02521833
  0.00947727 0.20565268 1.         0.         0.         0.
  0.         0.7       ]]"
6,[0.],[[[1 0 0 0 0]]],[[4.]],[0],[12.],[[0 0 0 0 0]],"[[0.80775762 0.98309398 0.2401014  0.80657482 0.00713087 0.01505784
  0.00654487 0.16469161 1.         0.         0.         0.
  0.         0.8       ]]"
7,[0.],[[[1 0 0 0 0]]],[[3.]],[0],[9.],[[0 0 0 0 0]],"[[0.84994006 0.97581947 0.32263738 0.84442717 0.00563395 0.01115804
  0.00533098 0.13344991 0.         0.         0.         0.
  1.         0.9       ]]"
8,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[57.],[[0 0 0 0 0]],"[[0.90625525 0.99210376 0.28699225 0.83280963 0.00487683 0.01001371
  0.00475965 0.14754018 1.         0.         0.         0.
  0.         1.        ]]"
9,[0.],[[[1 0 0 0 0]]],[[3.]],[0],[9.],[[0 0 0 0 0]],"[[0.89391339 0.97948146 0.35615107 0.85954452 0.00465936 0.00901132
  0.00453243 0.12225238 1.         0.         0.         0.
  0.         1.1       ]]"
