,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[30.],[[[0 0 0 0 1]]],[[18.]],[4],[0.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.43491727  0.61604363 -0.4317604   0.04002445  0.15627263  0.57630807
   0.0900915   0.13730325  0.          0.          1.          0.
   0.          0.02      ]]"
1,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[30.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.26529023  0.61645806  0.19638647  0.35177973  0.14636917  0.29125142
   0.04166421  0.16893542  0.          1.          0.          0.
   0.          0.03      ]]"
2,[3.],[[[0 1 0 0 0]]],[[5.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-0.65661329  0.82448852  0.40899396  0.37649307  0.23940611  0.28658482
   0.04397186  0.05354423  1.          0.          0.          0.
   0.          0.04      ]]"
3,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[-0.63736808  0.77709955  0.78393513  0.65833491  0.15459776  0.13823734
   0.01845085  0.03037918  0.          0.          1.          0.
   0.          0.05      ]]"
4,[7.],[[[1 0 0 0 0]]],[[3.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.66443956  0.77712023  0.7900573   0.64437634  0.16280091  0.14487493
   0.01913079  0.02881702  1.          0.          0.          0.
   0.          0.06      ]]"
5,[0.],[[[0 0 1 0 0]]],[[11.]],[1],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[-0.69108152  0.75848126  0.88772207  0.68654674  0.14994186  0.12503748
   0.01562961  0.0228443   1.          0.          0.          0.
   0.          0.07      ]]"
6,[0.],[[[1 0 0 0 0]]],[[0.001]],[1],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[-0.71212274  0.74630779  0.92381728  0.69174469  0.14970098  0.12292503
   0.01490266  0.02072661  1.          0.          0.          0.
   0.          0.08      ]]"
7,[0.],[[[1 0 0 0 0]]],[[0.001]],[1],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[-0.73008299  0.73677409  0.93718266  0.68467736  0.15383847  0.12662955
   0.01503328  0.01982139  1.          0.          0.          0.
   0.          0.09      ]]"
8,[0.],[[[0 1 0 0 0]]],[[5.]],[1],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[-0.74706173  0.72872716  0.93911266  0.67088366  0.16048788  0.13359003
   0.01560594  0.01943243  1.          0.          0.          0.
   0.          0.1       ]]"
9,[0.],[[[1 0 0 0 0]]],[[3.]],[1],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[-0.76418602  0.7217018   0.93414402  0.65218592  0.16902414  0.14301115
   0.0164857   0.01929313  0.          1.          0.          0.
   0.          0.11      ]]"
