,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.23604636  0.9993431  -0.28683484  0.01607163  0.08774742  0.89328432
   0.00157544  0.00132107  0.          0.          1.          0.
   0.          0.2       ]]"
1,[8.],[[[0 0 1 0 0]]],[[10.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-0.42392141  0.99301583  0.26550046  0.03838391  0.56624997  0.39280626
   0.00150421  0.0010556   0.          0.          1.          0.
   0.          0.3       ]]"
2,[8.],[[[0 0 1 0 0]]],[[10.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-5.87320507e-01  9.97455060e-01  4.04705942e-01  2.05709748e-02
   7.42546260e-01  2.35532776e-01  8.11216538e-04  5.38820284e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[8.],[[[0 1 0 0 0]]],[[7.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-6.81967854e-01  9.97688711e-01  4.78002131e-01  1.34563353e-02
   8.15534294e-01  1.70112699e-01  5.44826442e-04  3.51851952e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[8.],[[[0 1 0 0 0]]],[[7.]],[2],[7.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-7.78384686e-01  9.99652386e-01  7.86825180e-01  9.37689003e-03
   9.46051657e-01  4.42222171e-02  2.20584974e-04  1.28570391e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[4.],[[[0 1 0 0 0]]],[[6.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-6.44037604e-01  9.98867154e-01  9.58072126e-01  2.02218536e-02
   9.56324756e-01  2.30864175e-02  2.35743530e-04  1.31300403e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[4.],[[[0 1 0 0 0]]],[[6.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-6.14803374e-01  9.99377012e-01  9.84261572e-01  2.37837452e-02
   9.54843104e-01  2.09940746e-02  2.44090130e-04  1.35017850e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[4.],[[[0 1 0 0 0]]],[[8.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-6.05509043e-01  9.99439597e-01  9.86608744e-01  2.50132978e-02
   9.53680038e-01  2.09180862e-02  2.50158017e-04  1.38337971e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[0.],[[[0 1 0 0 0]]],[[5.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-2.72195995e-01  9.97429848e-01  9.89018559e-01  1.38847604e-01
   8.35652590e-01  2.44433060e-02  6.75754331e-04  3.80740210e-04
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[0.]],"[[1.89965025e-01 9.92538512e-01 9.85558808e-01 6.71511233e-01
  3.12484533e-01 1.40614854e-02 1.22938503e-03 7.13298970e-04
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 1.10000000e+00]]"
