,0
0,119.0
1,160.0
2,124.0
3,122.0
4,151.0
5,131.0
6,175.0
7,146.0
8,168.0
9,178.0
10,151.0
11,159.0
12,151.0
13,167.0
14,145.0
15,131.0
16,163.0
17,140.0
18,146.0
19,177.0
20,155.0
21,152.0
22,134.0
23,147.0
24,167.0
25,147.0
26,109.0
27,155.0
28,151.0
29,161.0
30,195.0
31,172.0
32,182.0
33,112.0
34,136.0
35,154.0
36,139.0
37,175.0
38,142.0
39,184.0
40,169.0
41,171.0
42,121.0
43,162.0
44,142.0
45,146.0
46,127.0
47,152.0
48,129.0
49,107.0
50,158.0
51,140.0
52,138.0
53,165.0
54,175.0
55,165.0
56,139.0
57,165.0
58,154.0
59,119.0
60,152.0
61,162.0
62,132.0
63,127.0
64,156.0
65,169.0
66,167.0
67,155.0
68,147.0
69,171.0
70,164.0
71,113.0
72,156.0
73,150.0
74,178.0
75,151.0
76,111.0
77,54.0
78,139.0
79,152.0
80,134.0
81,162.0
82,150.0
83,161.0
84,169.0
85,173.0
86,135.0
87,149.0
88,186.0
89,163.0
90,171.0
91,161.0
92,115.0
93,157.0
94,169.0
95,130.0
96,156.0
97,143.0
98,137.0
99,157.0
100,189.0
101,176.0
102,139.0
103,160.0
104,145.0
105,135.0
106,146.0
107,168.0
108,118.0
109,175.0
110,152.0
111,124.0
112,146.0
113,137.0
114,131.0
115,162.0
116,105.0
117,157.0
118,144.0
119,141.0
120,150.0
121,197.0
122,186.0
123,213.0
124,141.0
125,114.0
126,150.0
127,165.0
128,181.0
129,150.0
130,129.0
131,129.0
132,121.0
133,146.0
134,114.0
135,172.0
136,164.0
137,126.0
138,142.0
139,163.0
140,142.0
141,130.0
142,184.0
143,117.0
144,149.0
145,173.0
146,160.0
147,129.0
148,131.0
149,127.0
150,128.0
151,125.0
152,150.0
153,150.0
154,158.0
155,162.0
156,175.0
157,134.0
158,152.0
159,118.0
160,180.0
161,164.0
162,168.0
163,157.0
164,115.0
165,140.0
166,119.0
167,148.0
168,171.0
169,161.0
170,134.0
171,129.0
172,125.0
173,192.0
174,161.0
175,164.0
176,138.0
177,137.0
178,145.0
179,180.0
180,190.0
181,162.0
182,151.0
183,171.0
184,147.0
185,157.0
186,156.0
187,154.0
188,132.0
189,123.0
190,140.0
191,133.0
192,145.0
193,153.0
194,106.0
195,178.0
196,175.0
197,147.0
198,137.0
199,125.0
