,0
0,147.0
1,157.0
2,120.0
3,149.0
4,143.0
5,125.0
6,132.0
7,139.0
8,141.0
9,162.0
10,139.0
11,142.0
12,148.0
13,128.0
14,129.0
15,140.0
16,139.0
17,127.0
18,120.0
19,130.0
20,153.0
21,136.0
22,132.0
23,143.0
24,156.0
25,163.0
26,137.0
27,176.0
28,154.0
29,144.0
30,122.0
31,148.0
32,125.0
33,140.0
34,146.0
35,127.0
36,177.0
37,169.0
38,155.0
39,125.0
40,157.0
41,136.0
42,128.0
43,142.0
44,131.0
45,144.0
46,109.0
47,109.0
48,109.0
49,127.0
50,131.0
51,128.0
52,152.0
53,127.0
54,143.0
55,133.0
56,116.0
57,152.0
58,141.0
59,132.0
60,137.0
61,112.0
62,136.0
63,119.0
64,130.0
65,165.0
66,133.0
67,155.0
68,167.0
69,137.0
70,149.0
71,165.0
72,122.0
73,123.0
74,127.0
75,140.0
76,170.0
77,142.0
78,127.0
79,146.0
80,123.0
81,140.0
82,103.0
83,122.0
84,148.0
85,136.0
86,122.0
87,137.0
88,151.0
89,157.0
90,129.0
91,146.0
92,144.0
93,124.0
94,125.0
95,148.0
96,135.0
97,133.0
98,163.0
99,138.0
100,154.0
101,142.0
102,106.0
103,126.0
104,129.0
105,160.0
106,156.0
107,122.0
108,134.0
109,130.0
110,138.0
111,170.0
112,160.0
113,157.0
114,127.0
115,144.0
116,165.0
117,111.0
118,143.0
119,146.0
120,130.0
121,146.0
122,133.0
123,149.0
124,97.0
125,116.0
126,144.0
127,114.0
128,160.0
129,146.0
130,146.0
131,152.0
132,156.0
133,159.0
134,149.0
135,156.0
136,142.0
137,139.0
138,115.0
139,137.0
140,144.0
141,114.0
142,165.0
143,139.0
144,121.0
145,201.0
146,132.0
147,143.0
148,130.0
149,116.0
150,136.0
151,153.0
152,145.0
153,138.0
154,162.0
155,133.0
156,163.0
157,151.0
158,155.0
159,131.0
160,131.0
161,134.0
162,164.0
163,129.0
164,134.0
165,145.0
166,144.0
167,117.0
168,140.0
169,134.0
170,114.0
171,119.0
172,109.0
173,150.0
174,139.0
175,138.0
176,151.0
177,131.0
178,129.0
179,123.0
180,133.0
181,118.0
182,135.0
183,163.0
184,143.0
185,122.0
186,167.0
187,109.0
188,149.0
189,158.0
190,128.0
191,138.0
192,151.0
193,145.0
194,129.0
195,153.0
196,147.0
197,126.0
198,117.0
199,137.0
