,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],"[[-0.23604636  0.9993431  -0.28683484  0.01607163  0.08774742  0.89328444
   0.00157544  0.00132107  0.          0.          1.          0.
   0.          0.02      ]]"
1,[16.],[[[0 0 1 0 0]]],[[11.]],[2],[16.],[[0 0 0 0 0]],"[[-5.65278947e-01  9.99793708e-01 -3.14104229e-01  3.06734047e-03
   1.03879474e-01  8.91858697e-01  6.52569579e-04  5.41897956e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-02]]"
2,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[24.],[[0 0 0 0 0]],"[[-6.31291449e-01  9.88466084e-01  1.73132300e-01  1.12302704e-02
   5.25352597e-01  4.61926013e-01  8.68854928e-04  6.22235180e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-02]]"
3,[6.],[[[0 0 1 0 0]]],[[9.]],[1],[20.],[[0 0 0 0 0]],"[[-6.02377295e-01  9.89729702e-01  4.62941438e-01  2.02474650e-02
   7.88866043e-01  1.89681068e-01  7.28390471e-04  4.77046618e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-02]]"
4,[7.],[[[0 1 0 0 0]]],[[5.]],[2],[7.],[[0 0 0 0 0]],"[[-6.95658863e-01  9.99498129e-01  7.86810994e-01  1.46927675e-02
   9.37646210e-01  4.72024269e-02  2.89275107e-04  1.69386301e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-02]]"
5,[9.],[[[0 1 0 0 0]]],[[6.]],[2],[9.],[[0 0 0 0 0]],"[[-8.43956769e-01  9.99889851e-01  9.42838788e-01  6.78487401e-03
   9.71992671e-01  2.10266598e-02  1.26014274e-04  6.97095238e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-02]]"
6,[5.],[[[0 1 0 0 0]]],[[7.]],[1],[15.],[[0 0 0 0 0]],"[[-7.57664263e-01  9.99443889e-01  9.85429764e-01  1.09578865e-02
   9.70135689e-01  1.86701939e-02  1.52576598e-04  8.37087937e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-02]]"
7,[12.],[[[0 1 0 0 0]]],[[8.]],[2],[12.],[[0 0 0 0 0]],"[[-9.27378595e-01  9.99979913e-01  9.83632982e-01  4.32108715e-03
   9.79224145e-01  1.63204093e-02  8.70302247e-05  4.73187283e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-02]]"
8,[4.],[[[0 1 0 0 0]]],[[6.]],[1],[13.],[[0 0 0 0 0]],"[[-7.52490699e-01  9.99111950e-01  9.91677046e-01  1.12843169e-02
   9.70245183e-01  1.82335302e-02  1.53158035e-04  8.39058339e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e-01]]"
9,[10.],[[[0 1 0 0 0]]],[[7.]],[2],[10.],[[0 0 0 0 0]],"[[-8.94758105e-01  9.99952555e-01  9.86221135e-01  5.17148152e-03
   9.78092015e-01  1.65875796e-02  9.64834471e-05  5.25104442e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e-01]]"
