,0
0,196.0
1,96.0
2,173.0
3,230.0
4,142.0
5,196.0
6,163.0
7,153.0
8,182.0
9,141.0
10,87.0
11,165.0
12,75.0
13,156.0
14,136.0
15,81.0
16,97.0
17,186.0
18,188.0
19,142.0
20,84.0
21,180.0
22,114.0
23,122.0
24,127.0
25,240.0
26,205.0
27,159.0
28,177.0
29,160.0
30,175.0
31,211.0
32,212.0
33,155.0
34,188.0
35,84.0
36,150.0
37,169.0
38,131.0
39,208.0
40,152.0
41,218.0
42,155.0
43,165.0
44,136.0
45,72.0
46,220.0
47,123.0
48,174.0
49,183.0
50,120.0
51,161.0
52,164.0
53,118.0
54,165.0
55,214.0
56,194.0
57,226.0
58,168.0
59,73.0
60,164.0
61,93.0
62,174.0
63,98.0
64,213.0
65,141.0
66,217.0
67,93.0
68,147.0
69,200.0
70,133.0
71,182.0
72,206.0
73,126.0
74,72.0
75,189.0
76,266.0
77,92.0
78,220.0
79,176.0
80,51.0
81,108.0
82,182.0
83,206.0
84,157.0
85,283.0
86,176.0
87,150.0
88,141.0
89,138.0
90,109.0
91,143.0
92,146.0
93,162.0
94,184.0
95,184.0
96,216.0
97,177.0
98,119.0
99,172.0
100,212.0
101,206.0
102,202.0
103,202.0
104,150.0
105,228.0
106,221.0
107,99.0
108,214.0
109,119.0
110,199.0
111,153.0
112,250.0
113,196.0
114,174.0
115,82.0
116,202.0
117,145.0
118,191.0
119,183.0
120,147.0
121,163.0
122,169.0
123,144.0
124,239.0
125,194.0
126,132.0
127,92.0
128,98.0
129,195.0
130,215.0
131,165.0
132,76.0
133,236.0
134,237.0
135,167.0
136,151.0
137,224.0
138,142.0
139,164.0
140,206.0
141,159.0
142,111.0
143,166.0
144,171.0
145,209.0
146,92.0
147,134.0
148,286.0
149,220.0
150,78.0
151,191.0
152,226.0
153,171.0
154,126.0
155,210.0
156,184.0
157,139.0
158,279.0
159,126.0
160,215.0
161,193.0
162,78.0
163,214.0
164,282.0
165,111.0
166,167.0
167,42.0
168,84.0
169,221.0
170,76.0
171,146.0
172,191.0
173,201.0
174,220.0
175,203.0
176,114.0
177,221.0
178,147.0
179,144.0
180,201.0
181,241.0
182,118.0
183,156.0
184,131.0
185,171.0
186,147.0
187,185.0
188,184.0
189,108.0
190,211.0
191,165.0
192,211.0
193,185.0
194,177.0
195,215.0
196,213.0
197,238.0
198,290.0
199,164.0
