,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[0.44863909 0.93773019 0.30579689 0.76701415 0.01410398 0.01495764
  0.00394735 0.199977   1.         0.         0.         0.
  0.         0.02      ]]"
1,[2.],[[[1 0 0 0 0]]],[[3.]],[1],[6.],[[0 0 0 0 0]],"[[0.64883757 0.43240583 0.56367171 0.75414211 0.00748174 0.01329221
  0.00190654 0.22317743 0.         0.         0.         0.
  1.         0.03      ]]"
2,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[57.],[[0 0 0 0 0]],"[[7.27556288e-01 8.89147758e-01 6.40607297e-01 8.97446632e-01
  2.87961354e-03 2.34962208e-03 5.94431185e-04 9.67296660e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00 4.00000000e-02]]"
3,[0.],[[[0 0 0 0 1]]],[[19.]],[0],[57.],[[0 0 0 0 0]],"[[7.77684748e-01 8.51909935e-01 6.58189356e-01 8.95597160e-01
  2.45210435e-03 2.07802956e-03 5.08936704e-04 9.93637592e-02
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 5.00000000e-02]]"
4,[0.],[[[1 0 0 0 0]]],[[0.001]],[1],[0.],[[0 0 0 0 0]],"[[ 0.74010539 -0.15417923  0.69882244  0.62076396  0.0074384   0.02837646
   0.00198576  0.34143549  1.          0.          0.          0.
   0.          0.06      ]]"
5,[2.],[[[1 0 0 0 0]]],[[1.]],[3],[0.],[[0 0 0 0 0]],"[[ 0.62881088 -0.02154946  0.8654865   0.78244907  0.00715997  0.01905444
   0.00145145  0.18988504  0.          0.          0.          1.
   0.          0.07      ]]"
6,[0.],[[[0 0 0 1 0]]],[[15.]],[0],[45.],[[0 0 0 0 0]],"[[-0.01284575  0.52325082  0.89882368  0.87969309  0.02786549  0.03202036
   0.0037796   0.05664148  1.          0.          0.          0.
   0.          0.08      ]]"
7,[0.],[[[1 0 0 0 0]]],[[1.]],[1],[2.],[[0 0 0 0 0]],"[[0.15528688 0.04009163 0.93181229 0.79334027 0.02661369 0.06167066
  0.00423863 0.11413671 0.         1.         0.         0.
  0.         0.09      ]]"
8,[4.],[[[0 1 0 0 0]]],[[6.]],[1],[13.],[[0 0 0 0 0]],"[[-0.57285774  0.95548558  0.9169867   0.83576518  0.08578774  0.05115163
   0.0084147   0.01888067  1.          0.          0.          0.
   0.          0.1       ]]"
9,[0.],[[[1 0 0 0 0]]],[[4.]],[0],[12.],[[0 0 0 0 0]],"[[-0.57600808  0.92287278  0.94245815  0.83648902  0.0849853   0.05197831
   0.00815858  0.01838874  0.          1.          0.          0.
   0.          0.11      ]]"
