,0
0,252.0
1,250.0
2,269.0
3,234.0
4,251.0
5,124.0
6,175.0
7,130.0
8,307.0
9,83.0
10,54.0
11,202.0
12,200.0
13,177.0
14,326.0
15,89.0
16,211.0
17,124.0
18,269.0
19,8.0
20,318.0
21,234.0
22,274.0
23,69.0
24,129.0
25,147.0
26,251.0
27,49.0
28,278.0
29,72.0
30,232.0
31,303.0
32,200.0
33,207.0
34,230.0
35,249.0
36,212.0
37,172.0
38,60.0
39,56.0
40,151.0
41,289.0
42,138.0
43,239.0
44,376.0
45,244.0
46,190.0
47,179.0
48,60.0
49,267.0
50,249.0
51,224.0
52,258.0
53,269.0
54,294.0
55,106.0
56,55.0
57,190.0
58,162.0
59,267.0
60,148.0
61,101.0
62,291.0
63,294.0
64,226.0
65,278.0
66,209.0
67,274.0
68,246.0
69,225.0
70,266.0
71,117.0
72,236.0
73,25.0
74,259.0
75,152.0
76,186.0
77,218.0
78,77.0
79,173.0
80,346.0
81,383.0
82,394.0
83,152.0
84,294.0
85,273.0
86,280.0
87,217.0
88,252.0
89,241.0
90,248.0
91,79.0
92,238.0
93,274.0
94,377.0
95,338.0
96,158.0
97,297.0
98,164.0
99,139.0
100,171.0
101,21.0
102,220.0
103,283.0
104,273.0
105,118.0
106,47.0
107,211.0
108,251.0
109,172.0
110,277.0
111,182.0
112,177.0
113,195.0
114,330.0
115,322.0
116,64.0
117,229.0
118,51.0
119,228.0
120,276.0
121,51.0
122,255.0
123,310.0
124,155.0
125,283.0
126,184.0
127,266.0
128,282.0
129,145.0
130,203.0
131,80.0
132,237.0
133,141.0
134,100.0
135,72.0
136,168.0
137,235.0
138,231.0
139,54.0
140,80.0
141,267.0
142,314.0
143,250.0
144,238.0
145,203.0
146,174.0
147,225.0
148,266.0
149,284.0
150,384.0
151,154.0
152,110.0
153,75.0
154,11.0
155,279.0
156,291.0
157,238.0
158,258.0
159,200.0
160,135.0
161,268.0
162,232.0
163,282.0
164,51.0
165,95.0
166,11.0
167,233.0
168,237.0
169,143.0
170,249.0
171,68.0
172,60.0
173,208.0
174,271.0
175,16.0
176,251.0
177,66.0
178,265.0
179,273.0
180,291.0
181,102.0
182,107.0
183,69.0
184,261.0
185,153.0
186,231.0
187,114.0
188,230.0
189,87.0
190,231.0
191,106.0
192,246.0
193,230.0
194,201.0
195,240.0
196,218.0
197,268.0
198,283.0
199,78.0
