,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[39.],[[[0 0 0 1 0]]],[[13.]],[4],[0.],[[0 0 0 0 0]],"[[0.57791311 0.99945498 0.00930132 0.00850558 0.05938494 0.10384791
  0.59547281 0.23278868 0.         0.         0.         1.
  0.         0.02      ]]"
1,[0.],[[[0 0 0 1 0]]],[[16.]],[0],[48.],[[0 0 0 0 0]],"[[0.71195614 0.42768702 0.26350951 0.01502657 0.06686705 0.11493241
  0.64453375 0.15864021 0.         0.         0.         1.
  0.         0.03      ]]"
2,[0.],[[[0 0 0 1 0]]],[[16.]],[0],[48.],[[0 0 0 0 0]],"[[0.81710637 0.23291834 0.50367683 0.01839721 0.07402226 0.12289629
  0.69073498 0.09394931 0.         0.         0.         1.
  0.         0.04      ]]"
3,[0.],[[[0 0 0 1 0]]],[[13.]],[0],[39.],[[0 0 0 0 0]],"[[0.87301207 0.17452145 0.65497172 0.01975769 0.07877368 0.12701276
  0.70928556 0.06517028 0.         0.         0.         1.
  0.         0.05      ]]"
4,[42.],[[[0 0 0 1 0]]],[[14.]],[4],[0.],[[0 0 0 0 0]],"[[0.89050794 0.99972647 0.08226749 0.00380931 0.03594844 0.07424305
  0.73889846 0.14710076 0.         0.         0.         1.
  0.         0.06      ]]"
5,[0.],[[[0 0 0 1 0]]],[[13.]],[0],[39.],[[0 0 0 0 0]],"[[0.9155184  0.46960661 0.32360643 0.00857581 0.04839586 0.09214601
  0.73941392 0.11146842 0.         0.         0.         1.
  0.         0.07      ]]"
6,[0.],[[[0 0 0 1 0]]],[[15.]],[0],[45.],[[0 0 0 0 0]],"[[0.92469931 0.29116082 0.55344439 0.01334628 0.06308635 0.1096478
  0.74067008 0.07324953 0.         0.         0.         1.
  0.         0.08      ]]"
7,[42.],[[[0 0 0 1 0]]],[[14.]],[4],[0.],[[0 0 0 0 0]],"[[0.91874254 0.99972647 0.08028121 0.00348584 0.0338121  0.07115187
  0.74864984 0.14290033 0.         0.         0.         1.
  0.         0.09      ]]"
8,[0.],[[[0 0 0 1 0]]],[[16.]],[0],[48.],[[0 0 0 0 0]],"[[0.93138087 0.47372258 0.32184926 0.00812059 0.0467328  0.08994111
  0.74553561 0.10966984 0.         0.         0.         1.
  0.         0.1       ]]"
9,[48.],[[[0 0 0 1 0]]],[[16.]],[4],[0.],[[0 0 0 0 0]],"[[ 0.92164242  0.99993116 -0.0046666   0.0030666   0.02991864  0.06543616
   0.73361582  0.1679628   0.          0.          0.          0.
   1.          0.11      ]]"
