,epoch,loss,n actions,sum loss,% correct
0,0,1.7072449,2000.0,3414.4897,0.358
1,100,1.3708304,2000.0,2741.661,0.8755
2,200,1.1080601,2000.0,2216.1204,0.9655
3,300,0.93504536,2000.0,1870.0907,0.9825
4,400,0.83310384,2000.0,1666.2076,0.9825
5,500,0.75890625,2000.0,1517.8125,0.9825
6,600,0.6977993,2000.0,1395.5986,0.9815
7,700,0.64098793,2000.0,1281.9758,0.977
8,800,0.5896113,2000.0,1179.2225,0.9735
9,900,0.54666066,2000.0,1093.3213,0.963
10,1000,0.51137626,2000.0,1022.7525,0.958
11,1100,0.48169103,2000.0,963.3821,0.9555
12,1200,0.45664033,2000.0,913.28064,0.9535
13,1300,0.43656364,2000.0,873.12726,0.9505
14,1400,0.42017576,2000.0,840.3515,0.9465
15,1500,0.40632528,2000.0,812.6506,0.9465
16,1600,0.3944016,2000.0,788.8032,0.945
17,1700,0.38403112,2000.0,768.06226,0.9455
18,1800,0.3749212,2000.0,749.8424,0.9465
19,1900,0.3667901,2000.0,733.5802,0.946
20,2000,0.35933214,2000.0,718.6643,0.945
21,2100,0.3522217,2000.0,704.4434,0.9455
22,2200,0.34488806,2000.0,689.7761,0.9485
23,2300,0.33821505,2000.0,676.4301,0.95
24,2400,0.33198175,2000.0,663.9635,0.9505
25,2500,0.32623738,2000.0,652.47473,0.9515
26,2600,0.32096,2000.0,641.92,0.9505
27,2700,0.31610316,2000.0,632.2063,0.951
28,2800,0.311607,2000.0,623.214,0.951
29,2900,0.30743018,2000.0,614.86035,0.9535
30,3000,0.30356875,2000.0,607.1375,0.954
31,3100,0.3000338,2000.0,600.0676,0.954
32,3200,0.29682425,2000.0,593.6485,0.9535
33,3300,0.2939169,2000.0,587.8338,0.9545
34,3400,0.2912751,2000.0,582.55023,0.9555
35,3500,0.28886086,2000.0,577.72174,0.9565
36,3600,0.286644,2000.0,573.288,0.9565
37,3700,0.28460035,2000.0,569.2007,0.958
38,3800,0.28270927,2000.0,565.4185,0.9595
39,3900,0.28095123,2000.0,561.90247,0.96
40,4000,0.27930787,2000.0,558.6157,0.9605
41,4100,0.27775824,2000.0,555.5165,0.9605
42,4200,0.2762849,2000.0,552.5698,0.962
43,4300,0.27486745,2000.0,549.73486,0.9615
44,4400,0.27348438,2000.0,546.96875,0.964
45,4500,0.27210826,2000.0,544.2165,0.9645
46,4600,0.27070564,2000.0,541.41125,0.9645
47,4700,0.26932976,2000.0,538.6595,0.9655
48,4800,0.26803985,2000.0,536.0797,0.965
49,4900,0.26674035,2000.0,533.4807,0.965
50,5000,0.26544726,2000.0,530.89453,0.965
51,5100,0.26423198,2000.0,528.464,0.9655
52,5200,0.26314747,2000.0,526.2949,0.966
53,5300,0.26219213,2000.0,524.3843,0.9665
54,5400,0.26126984,2000.0,522.5397,0.967
55,5500,0.26045984,2000.0,520.9197,0.967
56,5600,0.25976086,2000.0,519.5217,0.966
57,5700,0.25912717,2000.0,518.25433,0.966
58,5800,0.25853315,2000.0,517.0663,0.966
59,5900,0.2579771,2000.0,515.9542,0.9665
60,6000,0.2573105,2000.0,514.62103,0.9665
61,6100,0.2563451,2000.0,512.6902,0.967
62,6200,0.2551806,2000.0,510.3612,0.9655
63,6300,0.2541315,2000.0,508.263,0.9655
64,6400,0.25322488,2000.0,506.44977,0.9655
65,6500,0.2522887,2000.0,504.57742,0.9655
66,6600,0.25118434,2000.0,502.3687,0.9645
67,6700,0.2501772,2000.0,500.3544,0.9635
68,6800,0.25023422,2000.0,500.4684,0.9645
69,6900,0.24896432,2000.0,497.92865,0.9635
70,7000,0.24850428,2000.0,497.00858,0.964
71,7100,0.2480658,2000.0,496.1316,0.964
72,7200,0.24764292,2000.0,495.28583,0.965
73,7300,0.24723044,2000.0,494.46088,0.9655
74,7400,0.24682154,2000.0,493.64307,0.966
75,7500,0.2464074,2000.0,492.81482,0.966
76,7600,0.24597916,2000.0,491.9583,0.967
77,7700,0.24553421,2000.0,491.06842,0.967
78,7800,0.24508229,2000.0,490.16458,0.967
79,7900,0.24463773,2000.0,489.27545,0.967
80,8000,0.24420688,2000.0,488.41376,0.9665
81,8100,0.24378778,2000.0,487.57556,0.9665
82,8200,0.24336651,2000.0,486.73303,0.967
83,8300,0.24288553,2000.0,485.77106,0.967
84,8400,0.24226798,2000.0,484.53595,0.9675
85,8500,0.24180682,2000.0,483.61365,0.9675
86,8600,0.24112256,2000.0,482.24512,0.967
87,8700,0.24084572,2000.0,481.69144,0.967
88,8800,0.24058466,2000.0,481.1693,0.967
89,8900,0.2403266,2000.0,480.6532,0.967
90,9000,0.24006693,2000.0,480.13385,0.9675
91,9100,0.23980294,2000.0,479.6059,0.9675
92,9200,0.23953299,2000.0,479.06598,0.967
93,9300,0.23925607,2000.0,478.51215,0.967
94,9400,0.23897287,2000.0,477.94574,0.967
95,9500,0.23868646,2000.0,477.37292,0.967
96,9600,0.23840109,2000.0,476.8022,0.967
97,9700,0.2381191,2000.0,476.2382,0.967
98,9800,0.23784071,2000.0,475.68143,0.967
99,9900,0.23756492,2000.0,475.12985,0.967
