,epoch,loss,n actions,sum loss,% correct
0,0,1.5649462,2000.0,3129.8923,0.545
1,100,1.1846921,2000.0,2369.3843,0.9415
2,200,0.95556265,2000.0,1911.1252,0.968
3,300,0.78424704,2000.0,1568.4941,0.9805
4,400,0.64580387,2000.0,1291.6078,0.9865
5,500,0.5557079,2000.0,1111.4158,0.9865
6,600,0.4902515,2000.0,980.50305,0.9855
7,700,0.43722254,2000.0,874.44507,0.978
8,800,0.3931051,2000.0,786.2102,0.971
9,900,0.35703167,2000.0,714.06335,0.9725
10,1000,0.32793802,2000.0,655.87604,0.9695
11,1100,0.30442983,2000.0,608.8597,0.969
12,1200,0.28522754,2000.0,570.4551,0.969
13,1300,0.26936522,2000.0,538.73047,0.966
14,1400,0.25608814,2000.0,512.1763,0.965
15,1500,0.24476053,2000.0,489.52106,0.965
16,1600,0.23487781,2000.0,469.7556,0.965
17,1700,0.22609597,2000.0,452.19196,0.9645
18,1800,0.21821424,2000.0,436.4285,0.9655
19,1900,0.21113384,2000.0,422.26767,0.9715
20,2000,0.20482674,2000.0,409.65347,0.971
21,2100,0.19931002,2000.0,398.62003,0.971
22,2200,0.19457711,2000.0,389.15424,0.9705
23,2300,0.19053902,2000.0,381.07803,0.97
24,2400,0.18706454,2000.0,374.1291,0.97
25,2500,0.18403569,2000.0,368.07138,0.9705
26,2600,0.18136229,2000.0,362.72458,0.9725
27,2700,0.17897789,2000.0,357.95578,0.973
28,2800,0.17683317,2000.0,353.66632,0.9735
29,2900,0.17489046,2000.0,349.7809,0.974
30,3000,0.17312056,2000.0,346.24112,0.977
31,3100,0.17149988,2000.0,342.99976,0.977
32,3200,0.17000897,2000.0,340.01794,0.977
33,3300,0.16863132,2000.0,337.26263,0.9775
34,3400,0.16735245,2000.0,334.7049,0.977
35,3500,0.16615906,2000.0,332.3181,0.977
36,3600,0.16503808,2000.0,330.07617,0.977
37,3700,0.16397196,2000.0,327.9439,0.977
38,3800,0.1628803,2000.0,325.7606,0.9775
39,3900,0.16143811,2000.0,322.87622,0.9755
40,4000,0.16029309,2000.0,320.58618,0.9755
41,4100,0.15936217,2000.0,318.72433,0.9755
42,4200,0.15851925,2000.0,317.0385,0.9755
43,4300,0.15765648,2000.0,315.31296,0.978
44,4400,0.15573351,2000.0,311.467,0.9785
45,4500,0.1443085,2000.0,288.617,0.983
46,4600,0.13495544,2000.0,269.91086,0.9855
47,4700,0.12769249,2000.0,255.385,0.987
48,4800,0.12417261,2000.0,248.34523,0.9885
49,4900,0.120694935,2000.0,241.38988,0.9885
50,5000,0.11757193,2000.0,235.14386,0.99
51,5100,0.11479559,2000.0,229.59117,0.9895
52,5200,0.11255453,2000.0,225.10905,0.9885
53,5300,0.110603206,2000.0,221.2064,0.988
54,5400,0.10910943,2000.0,218.21886,0.9875
55,5500,0.10760531,2000.0,215.21062,0.988
56,5600,0.10622624,2000.0,212.45248,0.9875
57,5700,0.104745165,2000.0,209.49033,0.987
58,5800,0.10296656,2000.0,205.93312,0.9885
59,5900,0.10155986,2000.0,203.11972,0.988
60,6000,0.100334205,2000.0,200.66841,0.9885
61,6100,0.09959406,2000.0,199.18811,0.987
62,6200,0.09860004,2000.0,197.20007,0.9885
63,6300,0.097928606,2000.0,195.85721,0.9885
64,6400,0.097343765,2000.0,194.68753,0.9885
65,6500,0.09686845,2000.0,193.7369,0.988
66,6600,0.096284166,2000.0,192.56833,0.9885
67,6700,0.095856585,2000.0,191.71317,0.988
68,6800,0.09543801,2000.0,190.87602,0.988
69,6900,0.09506937,2000.0,190.13875,0.988
70,7000,0.09460403,2000.0,189.20805,0.988
71,7100,0.09423371,2000.0,188.4674,0.988
72,7200,0.09375499,2000.0,187.50998,0.9875
73,7300,0.09328634,2000.0,186.5727,0.9875
74,7400,0.09279782,2000.0,185.59564,0.988
75,7500,0.09231659,2000.0,184.63318,0.988
76,7600,0.09179576,2000.0,183.59152,0.988
77,7700,0.09122157,2000.0,182.44315,0.9885
78,7800,0.090600915,2000.0,181.20183,0.989
79,7900,0.08998923,2000.0,179.97845,0.989
80,8000,0.08953252,2000.0,179.06503,0.989
81,8100,0.089152955,2000.0,178.30591,0.9885
82,8200,0.08878721,2000.0,177.57443,0.988
83,8300,0.088498555,2000.0,176.99712,0.9875
84,8400,0.088248774,2000.0,176.49754,0.9875
85,8500,0.087959975,2000.0,175.91995,0.9875
86,8600,0.087651126,2000.0,175.30225,0.9875
87,8700,0.08746683,2000.0,174.93365,0.988
88,8800,0.087189175,2000.0,174.37836,0.987
89,8900,0.087023534,2000.0,174.04707,0.9875
90,9000,0.08683571,2000.0,173.67142,0.987
91,9100,0.08659293,2000.0,173.18585,0.9875
92,9200,0.08637723,2000.0,172.75447,0.988
93,9300,0.08614317,2000.0,172.28635,0.9875
94,9400,0.08593926,2000.0,171.87851,0.987
95,9500,0.08578157,2000.0,171.56314,0.987
96,9600,0.085688666,2000.0,171.37733,0.9875
97,9700,0.085449114,2000.0,170.89822,0.987
98,9800,0.08527556,2000.0,170.55112,0.987
99,9900,0.085213944,2000.0,170.42789,0.9875
