,epoch,loss,n actions,sum loss,% correct
0,0,1.6472148,2590.0,4266.286,0.3911197
1,100,1.4997317,2590.0,3884.305,0.8216216
2,200,1.376243,2590.0,3564.4695,0.8169884
3,300,1.2588663,2590.0,3260.4639,0.8003861
4,400,1.1692735,2590.0,3028.4185,0.8015444
5,500,1.0914794,2590.0,2826.9316,0.8084942
6,600,1.0586598,2590.0,2741.9287,0.8135135
7,700,1.0389355,2590.0,2690.843,0.823166
8,800,1.0252815,2590.0,2655.4792,0.82393825
9,900,1.0157905,2590.0,2630.8972,0.82509655
10,1000,1.0090497,2590.0,2613.4387,0.8258687
11,1100,1.00403,2590.0,2600.4377,0.8258687
12,1200,1.0001177,2590.0,2590.3047,0.8277992
13,1300,0.9969755,2590.0,2582.1665,0.83088803
14,1400,0.9943911,2590.0,2575.473,0.83088803
15,1500,0.99222445,2590.0,2569.8613,0.8332046
16,1600,0.9903701,2590.0,2565.0586,0.8332046
17,1700,0.9887527,2590.0,2560.8696,0.8332046
18,1800,0.9873093,2590.0,2557.131,0.8328185
19,1900,0.9859913,2590.0,2553.7175,0.83243245
20,2000,0.9847587,2590.0,2550.525,0.8328185
21,2100,0.98357964,2590.0,2547.4712,0.8316602
22,2200,0.98243165,2590.0,2544.498,0.8305019
23,2300,0.9812916,2590.0,2541.5452,0.8316602
24,2400,0.9801544,2590.0,2538.5999,0.83243245
25,2500,0.97901773,2590.0,2535.656,0.8332046
26,2600,0.97788763,2590.0,2532.729,0.8339768
27,2700,0.97676545,2590.0,2529.8225,0.8339768
28,2800,0.97565335,2590.0,2526.9421,0.83359075
29,2900,0.97456676,2590.0,2524.128,0.83359075
30,3000,0.9735343,2590.0,2521.4539,0.8332046
31,3100,0.9725747,2590.0,2518.9685,0.8339768
32,3200,0.97168845,2590.0,2516.673,0.83204633
33,3300,0.9708661,2590.0,2514.5432,0.83204633
34,3400,0.9700923,2590.0,2512.539,0.8328185
35,3500,0.9693498,2590.0,2510.616,0.8332046
36,3600,0.9686083,2590.0,2508.6956,0.83474904
37,3700,0.9678125,2590.0,2506.6343,0.83590734
38,3800,0.96686983,2590.0,2504.1929,0.83474904
39,3900,0.9657294,2590.0,2501.2393,0.83474904
40,4000,0.96443343,2590.0,2497.8826,0.83359075
41,4100,0.9632328,2590.0,2494.773,0.8316602
42,4200,0.9622999,2590.0,2492.3567,0.83127415
43,4300,0.9616033,2590.0,2490.5525,0.8328185
44,4400,0.96099913,2590.0,2488.9878,0.83204633
45,4500,0.9604888,2590.0,2487.666,0.83243245
46,4600,0.96003264,2590.0,2486.4846,0.8328185
47,4700,0.95961696,2590.0,2485.408,0.83243245
48,4800,0.95922613,2590.0,2484.3958,0.83359075
49,4900,0.95885473,2590.0,2483.4338,0.8339768
