,r1,r2,rnn action,adv action,adv reward,real model action
0,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
1,1.0,0.0,[[1 0]],[1],[1.],[[0. 1.]]
2,0.0,0.0,[[0 1]],[0],[0.],[[1. 0.]]
3,1.0,0.0,[[1 0]],[1],[1.],[[0. 1.]]
4,0.0,0.0,[[0 1]],[0],[0.],[[1. 0.]]
5,1.0,0.0,[[0 1]],[1],[1.],[[1. 0.]]
6,1.0,0.0,[[0 1]],[1],[1.],[[1. 0.]]
7,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
8,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
9,1.0,1.0,[[1 0]],[3],[1.],[[1. 0.]]
10,0.0,1.0,[[1 0]],[2],[1.],[[0. 1.]]
11,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
12,1.0,0.0,[[0 1]],[1],[1.],[[1. 0.]]
13,1.0,0.0,[[1 0]],[1],[1.],[[1. 0.]]
14,1.0,1.0,[[1 0]],[3],[1.],[[1. 0.]]
15,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
16,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
17,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
18,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
19,0.0,1.0,[[1 0]],[2],[1.],[[0. 1.]]
20,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
21,1.0,1.0,[[0 1]],[3],[1.],[[1. 0.]]
22,0.0,0.0,[[1 0]],[0],[1.],[[1. 0.]]
23,1.0,1.0,[[1 0]],[3],[1.],[[1. 0.]]
24,0.0,0.0,[[1 0]],[0],[1.],[[1. 0.]]
25,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
26,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
27,0.0,1.0,[[1 0]],[2],[1.],[[0. 1.]]
28,1.0,0.0,[[1 0]],[1],[0.],[[1. 0.]]
29,1.0,1.0,[[1 0]],[3],[1.],[[1. 0.]]
30,0.0,0.0,[[1 0]],[0],[1.],[[1. 0.]]
31,1.0,1.0,[[1 0]],[3],[1.],[[1. 0.]]
32,0.0,0.0,[[1 0]],[0],[1.],[[1. 0.]]
33,0.0,1.0,[[1 0]],[2],[1.],[[1. 0.]]
