trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
0,2020-02-24 05:19:41am, DYNAMIC, random_0, false, LEFT, 14186, 0.0, 1.0, 1.0, 0.0
1,2020-02-24 05:19:47am, DYNAMIC, random_0, true, RIGHT, 6243, 1.0, 0.0, 1.0, 0.0
2,2020-02-24 05:19:52am, DYNAMIC, random_0, true, RIGHT, 4523, 1.0, 0.0, 1.0, 0.0
3,2020-02-24 05:20:00am, DYNAMIC, random_0, true, RIGHT, 5233, 1.0, 0.0, 1.0, 0.0
4,2020-02-24 05:20:05am, DYNAMIC, random_0, true, RIGHT, 7751, 1.0, 0.0, 1.0, 0.0
5,2020-02-24 05:20:12am, DYNAMIC, random_0, true, RIGHT, 5664, 1.0, 0.0, 1.0, 0.0
6,2020-02-24 05:20:18am, DYNAMIC, random_0, true, RIGHT, 7855, 0.0, 0.0, 0.0, 0.0
7,2020-02-24 05:20:24am, DYNAMIC, random_0, true, RIGHT, 5611, 0.0, 0.0, 0.0, 0.0
8,2020-02-24 05:20:29am, DYNAMIC, random_0, true, RIGHT, 5236, 0.0, 0.0, 0.0, 0.0
9,2020-02-24 05:20:35am, DYNAMIC, random_0, true, RIGHT, 5555, 1.0, 0.0, 1.0, 0.0
10,2020-02-24 05:20:39am, DYNAMIC, random_0, true, RIGHT, 4557, 1.0, 0.0, 1.0, 0.0
11,2020-02-24 05:20:43am, DYNAMIC, random_0, true, RIGHT, 4108, 1.0, 1.0, 1.0, 1.0
12,2020-02-24 05:20:48am, DYNAMIC, random_0, true, RIGHT, 4207, 1.0, 1.0, 1.0, 1.0
13,2020-02-24 05:20:52am, DYNAMIC, random_0, true, RIGHT, 4583, 1.0, 1.0, 1.0, 1.0
14,2020-02-24 05:20:56am, DYNAMIC, random_0, true, RIGHT, 4298, 1.0, 1.0, 1.0, 1.0
15,2020-02-24 05:21:00am, DYNAMIC, random_0, true, RIGHT, 3953, 1.0, 1.0, 1.0, 1.0
16,2020-02-24 05:21:04am, DYNAMIC, random_0, true, RIGHT, 3835, 0.0, 1.0, 0.0, 1.0
17,2020-02-24 05:21:09am, DYNAMIC, random_0, true, RIGHT, 5181, 1.0, 1.0, 1.0, 1.0
18,2020-02-24 05:21:13am, DYNAMIC, random_0, true, RIGHT, 3788, 0.0, 1.0, 0.0, 1.0
19,2020-02-24 05:21:17am, DYNAMIC, random_0, true, RIGHT, 4052, 1.0, 1.0, 1.0, 1.0
20,2020-02-24 05:21:23am, DYNAMIC, random_0, false, LEFT, 5503, 1.0, 0.0, 0.0, 1.0
21,2020-02-24 05:21:27am, DYNAMIC, random_0, true, RIGHT, 4463, 0.0, 0.0, 0.0, 0.0
22,2020-02-24 05:21:32am, DYNAMIC, random_0, false, LEFT, 4481, 0.0, 1.0, 1.0, 0.0
23,2020-02-24 05:21:36am, DYNAMIC, random_0, false, LEFT, 4489, 0.0, 0.0, 0.0, 0.0
24,2020-02-24 05:21:41am, DYNAMIC, random_0, true, RIGHT, 5128, 0.0, 0.0, 0.0, 0.0
25,2020-02-24 05:21:48am, DYNAMIC, random_0, true, RIGHT, 6264, 1.0, 0.0, 1.0, 0.0
26,2020-02-24 05:21:56am, DYNAMIC, random_0, true, RIGHT, 8094, 1.0, 0.0, 1.0, 0.0
27,2020-02-24 05:22:01am, DYNAMIC, random_0, true, RIGHT, 5122, 1.0, 0.0, 1.0, 0.0
28,2020-02-24 05:22:05am, DYNAMIC, random_0, true, RIGHT, 4193, 1.0, 1.0, 1.0, 1.0
29,2020-02-24 05:22:10am, DYNAMIC, random_0, true, RIGHT, 4969, 1.0, 1.0, 1.0, 1.0
30,2020-02-24 05:22:15am, DYNAMIC, random_0, true, RIGHT, 4713, 1.0, 1.0, 1.0, 1.0
31,2020-02-24 05:22:19am, DYNAMIC, random_0, true, RIGHT, 4182, 1.0, 1.0, 1.0, 1.0
32,2020-02-24 05:22:25am, DYNAMIC, random_0, true, RIGHT, 5873, 0.0, 1.0, 0.0, 1.0
33,2020-02-24 05:22:30am, DYNAMIC, random_0, true, RIGHT, 5274, 0.0, 1.0, 0.0, 1.0
34,2020-02-24 05:22:35am, DYNAMIC, random_0, true, RIGHT, 4851, 0.0, 1.0, 0.0, 1.0
35,2020-02-24 05:22:39am, DYNAMIC, random_0, false, LEFT, 4243, 1.0, 0.0, 0.0, 1.0
36,2020-02-24 05:22:45am, DYNAMIC, random_0, false, LEFT, 5645, 0.0, 0.0, 0.0, 0.0
37,2020-02-24 05:22:49am, DYNAMIC, random_0, true, RIGHT, 4501, 0.0, 0.0, 0.0, 0.0
38,2020-02-24 05:22:55am, DYNAMIC, random_0, true, RIGHT, 5742, 1.0, 0.0, 1.0, 0.0
39,2020-02-24 05:23:00am, DYNAMIC, random_0, true, RIGHT, 5271, 1.0, 0.0, 1.0, 0.0
40,2020-02-24 05:23:05am, DYNAMIC, random_0, true, RIGHT, 4871, 0.0, 1.0, 0.0, 1.0
41,2020-02-24 05:23:10am, DYNAMIC, random_0, true, RIGHT, 5014, 0.0, 0.0, 0.0, 0.0
42,2020-02-24 05:23:15am, DYNAMIC, random_0, true, RIGHT, 5297, 0.0, 0.0, 0.0, 0.0
43,2020-02-24 05:23:22am, DYNAMIC, random_0, true, RIGHT, 7060, 0.0, 0.0, 0.0, 0.0
44,2020-02-24 05:23:28am, DYNAMIC, random_0, true, RIGHT, 5107, 0.0, 0.0, 0.0, 0.0
45,2020-02-24 05:23:33am, DYNAMIC, random_0, false, LEFT, 5279, 0.0, 0.0, 0.0, 0.0
46,2020-02-24 05:23:39am, DYNAMIC, random_0, false, LEFT, 6218, 0.0, 0.0, 0.0, 0.0
47,2020-02-24 05:23:46am, DYNAMIC, random_0, true, RIGHT, 6453, 0.0, 0.0, 0.0, 0.0
48,2020-02-24 05:23:50am, DYNAMIC, random_0, true, RIGHT, 4713, 0.0, 0.0, 0.0, 0.0
49,2020-02-24 05:23:57am, DYNAMIC, random_0, true, RIGHT, 7080, 0.0, 0.0, 0.0, 0.0
50,2020-02-24 05:24:04am, DYNAMIC, random_0, false, LEFT, 6582, 0.0, 0.0, 0.0, 0.0
51,2020-02-24 05:24:08am, DYNAMIC, random_0, true, RIGHT, 3936, 0.0, 0.0, 0.0, 0.0
52,2020-02-24 05:24:13am, DYNAMIC, random_0, false, LEFT, 5127, 0.0, 0.0, 0.0, 0.0
53,2020-02-24 05:24:19am, DYNAMIC, random_0, true, RIGHT, 5766, 0.0, 0.0, 0.0, 0.0
54,2020-02-24 05:24:25am, DYNAMIC, random_0, true, RIGHT, 6560, 0.0, 0.0, 0.0, 0.0
55,2020-02-24 05:24:31am, DYNAMIC, random_0, false, LEFT, 5901, 0.0, 0.0, 0.0, 0.0
56,2020-02-24 05:24:36am, DYNAMIC, random_0, false, LEFT, 4697, 0.0, 0.0, 0.0, 0.0
57,2020-02-24 05:24:40am, DYNAMIC, random_0, false, LEFT, 4551, 0.0, 0.0, 0.0, 0.0
58,2020-02-24 05:24:46am, DYNAMIC, random_0, true, RIGHT, 5275, 0.0, 0.0, 0.0, 0.0
59,2020-02-24 05:24:51am, DYNAMIC, random_0, true, RIGHT, 5213, 0.0, 0.0, 0.0, 0.0
60,2020-02-24 05:24:55am, DYNAMIC, random_0, false, LEFT, 4575, 0.0, 0.0, 0.0, 0.0
61,2020-02-24 05:25:00am, DYNAMIC, random_0, false, LEFT, 4865, 0.0, 0.0, 0.0, 0.0
62,2020-02-24 05:25:04am, DYNAMIC, random_0, false, LEFT, 4089, 0.0, 0.0, 0.0, 0.0
63,2020-02-24 05:25:09am, DYNAMIC, random_0, true, RIGHT, 4755, 0.0, 0.0, 0.0, 0.0
64,2020-02-24 05:25:17am, DYNAMIC, random_0, true, RIGHT, 7509, 0.0, 0.0, 0.0, 0.0
65,2020-02-24 05:25:21am, DYNAMIC, random_0, true, RIGHT, 4207, 0.0, 0.0, 0.0, 0.0
66,2020-02-24 05:25:29am, DYNAMIC, random_0, true, RIGHT, 7792, 0.0, 0.0, 0.0, 0.0
