,epoch,loss,n actions,sum loss,% correct
0,0,0.752903,20000.0,15058.06,0.25385
1,100,0.15139079,20000.0,3027.816,0.9495
2,200,0.1321126,20000.0,2642.2522,0.95065
3,300,0.1204985,20000.0,2409.97,0.94885
4,400,0.11176933,20000.0,2235.3867,0.9505
5,500,0.10474491,20000.0,2094.8982,0.9566
6,600,0.09933308,20000.0,1986.6616,0.96095
7,700,0.09510759,20000.0,1902.1519,0.9621
8,800,0.091594666,20000.0,1831.8933,0.96825
9,900,0.088586695,20000.0,1771.7339,0.9685
10,1000,0.08662445,20000.0,1732.489,0.9686
11,1100,0.0853698,20000.0,1707.396,0.9696
12,1200,0.08415122,20000.0,1683.0245,0.96995
13,1300,0.083414406,20000.0,1668.2881,0.9708
14,1400,0.082238205,20000.0,1644.7642,0.9712
15,1500,0.082499266,20000.0,1649.9854,0.97115
16,1600,0.0810122,20000.0,1620.2439,0.97125
17,1700,0.080662034,20000.0,1613.2407,0.9713
18,1800,0.08018494,20000.0,1603.6987,0.97145
19,1900,0.07994438,20000.0,1598.8876,0.9716
20,2000,0.07971958,20000.0,1594.3916,0.97195
21,2100,0.07938488,20000.0,1587.6975,0.97205
22,2200,0.07911871,20000.0,1582.3741,0.97235
23,2300,0.07969173,20000.0,1593.8346,0.97225
24,2400,0.07897443,20000.0,1579.4886,0.9722
25,2500,0.078801736,20000.0,1576.0347,0.97195
26,2600,0.07864464,20000.0,1572.8928,0.97225
27,2700,0.07848424,20000.0,1569.6848,0.97225
28,2800,0.07869634,20000.0,1573.9268,0.97235
29,2900,0.078380086,20000.0,1567.6017,0.9723
30,3000,0.07817523,20000.0,1563.5046,0.9721
31,3100,0.077953346,20000.0,1559.0669,0.97235
32,3200,0.078094594,20000.0,1561.8918,0.972
33,3300,0.07779625,20000.0,1555.925,0.97205
34,3400,0.07832666,20000.0,1566.5332,0.9718
35,3500,0.07802655,20000.0,1560.531,0.97205
36,3600,0.07813227,20000.0,1562.6455,0.97185
37,3700,0.07806935,20000.0,1561.387,0.97165
38,3800,0.0774101,20000.0,1548.202,0.9718
39,3900,0.07736873,20000.0,1547.3745,0.97185
40,4000,0.07707672,20000.0,1541.5344,0.97185
