,epoch,loss,n actions,sum loss,% correct
0,0,0.7287031,20000.0,14574.062,0.37815
1,100,0.13610168,20000.0,2722.0337,0.94515
2,200,0.11511422,20000.0,2302.2844,0.9482
3,300,0.103479855,20000.0,2069.5972,0.95315
4,400,0.09358965,20000.0,1871.793,0.95355
5,500,0.08503729,20000.0,1700.7458,0.95295
6,600,0.07918432,20000.0,1583.6865,0.96225
7,700,0.07446126,20000.0,1489.2252,0.96495
8,800,0.07011139,20000.0,1402.2278,0.97365
9,900,0.066104196,20000.0,1322.084,0.9763
10,1000,0.06273743,20000.0,1254.7485,0.9779
11,1100,0.060476393,20000.0,1209.5278,0.9776
12,1200,0.05902411,20000.0,1180.4822,0.9773
13,1300,0.0581044,20000.0,1162.088,0.97735
14,1400,0.05739868,20000.0,1147.9736,0.9769
15,1500,0.056804314,20000.0,1136.0863,0.9768
16,1600,0.0564771,20000.0,1129.542,0.97675
17,1700,0.05563496,20000.0,1112.6992,0.9771
18,1800,0.055105492,20000.0,1102.1099,0.97705
19,1900,0.057528857,20000.0,1150.5771,0.97705
20,2000,0.05439811,20000.0,1087.9622,0.9769
21,2100,0.05402309,20000.0,1080.4618,0.9774
22,2200,0.05364674,20000.0,1072.9348,0.9774
23,2300,0.069537744,20000.0,1390.7549,0.9774
24,2400,0.055015523,20000.0,1100.3104,0.9777
25,2500,0.054238692,20000.0,1084.7738,0.97755
26,2600,0.05363736,20000.0,1072.7472,0.9776
27,2700,0.05761695,20000.0,1152.339,0.9777
28,2800,0.053913508,20000.0,1078.2701,0.978
29,2900,0.053305555,20000.0,1066.1111,0.97755
30,3000,0.0529782,20000.0,1059.564,0.9778
31,3100,0.05280779,20000.0,1056.1558,0.9778
32,3200,0.053493787,20000.0,1069.8757,0.97785
33,3300,0.052504517,20000.0,1050.0903,0.978
34,3400,0.05236499,20000.0,1047.2998,0.9779
35,3500,0.0522287,20000.0,1044.574,0.97795
36,3600,0.052461974,20000.0,1049.2395,0.978
37,3700,0.052059352,20000.0,1041.187,0.978
38,3800,0.05198196,20000.0,1039.6392,0.97805
39,3900,0.05189118,20000.0,1037.8236,0.97785
40,4000,0.05265726,20000.0,1053.1453,0.97775
41,4100,0.051745143,20000.0,1034.9028,0.97805
42,4200,0.051686913,20000.0,1033.7383,0.97815
43,4300,0.0517257,20000.0,1034.514,0.978
44,4400,0.05151349,20000.0,1030.2698,0.9778
45,4500,0.05155434,20000.0,1031.0868,0.97785
46,4600,0.05141102,20000.0,1028.2205,0.97755
47,4700,0.05124491,20000.0,1024.8982,0.9779
48,4800,0.05134069,20000.0,1026.8138,0.97825
49,4900,0.05112676,20000.0,1022.5352,0.9775
50,5000,0.051052947,20000.0,1021.05896,0.97755
51,5100,0.0510039,20000.0,1020.078,0.97765
52,5200,0.05106061,20000.0,1021.21216,0.97775
53,5300,0.05095131,20000.0,1019.0262,0.97765
54,5400,0.050936397,20000.0,1018.72797,0.97765
55,5500,0.050872054,20000.0,1017.4411,0.97755
56,5600,0.051158264,20000.0,1023.1653,0.97745
57,5700,0.050969243,20000.0,1019.3848,0.97815
58,5800,0.051170833,20000.0,1023.4167,0.97775
59,5900,0.05058183,20000.0,1011.63666,0.97785
60,6000,0.051219873,20000.0,1024.3975,0.97775
61,6100,0.0504742,20000.0,1009.484,0.9779
62,6200,0.05032818,20000.0,1006.5636,0.97795
63,6300,0.05053845,20000.0,1010.76904,0.97795
64,6400,0.050187707,20000.0,1003.75415,0.9781
65,6500,0.050058197,20000.0,1001.16394,0.9781
66,6600,0.050408937,20000.0,1008.1788,0.97755
67,6700,0.049985394,20000.0,999.7079,0.97805
68,6800,0.05008504,20000.0,1001.70087,0.978
69,6900,0.050175954,20000.0,1003.51904,0.9778
70,7000,0.049694728,20000.0,993.89453,0.9778
71,7100,0.05003465,20000.0,1000.693,0.97795
72,7200,0.050304946,20000.0,1006.09894,0.978
73,7300,0.05766726,20000.0,1153.3452,0.977
74,7400,0.053557616,20000.0,1071.1523,0.97865
75,7500,0.05313135,20000.0,1062.627,0.97855
76,7600,0.052425023,20000.0,1048.5005,0.97895
77,7700,0.052591626,20000.0,1051.8325,0.9789
78,7800,0.051918298,20000.0,1038.366,0.9788
79,7900,0.05175828,20000.0,1035.1655,0.9788
80,8000,0.05203441,20000.0,1040.6882,0.9787
81,8100,0.051273473,20000.0,1025.4695,0.979
82,8200,0.051034972,20000.0,1020.69946,0.979
83,8300,0.050797924,20000.0,1015.9585,0.9788
84,8400,0.050560948,20000.0,1011.21893,0.97995
85,8500,0.050464623,20000.0,1009.2924,0.98
86,8600,0.050818466,20000.0,1016.3693,0.97965
87,8700,0.05024684,20000.0,1004.93677,0.98025
88,8800,0.050304845,20000.0,1006.0969,0.98025
89,8900,0.050515354,20000.0,1010.30707,0.9802
90,9000,0.050510176,20000.0,1010.2035,0.9792
91,9100,0.050006907,20000.0,1000.1382,0.9802
92,9200,0.05038376,20000.0,1007.67523,0.9801
93,9300,0.049871594,20000.0,997.4319,0.9803
94,9400,0.049962085,20000.0,999.2417,0.98
95,9500,0.049728226,20000.0,994.5645,0.98025
96,9600,0.049644288,20000.0,992.88574,0.9803
97,9700,0.050350133,20000.0,1007.0027,0.9804
98,9800,0.04956711,20000.0,991.3422,0.98025
99,9900,0.053218268,20000.0,1064.3654,0.97935
100,10000,0.049612038,20000.0,992.2408,0.9806
101,10100,0.049606856,20000.0,992.13715,0.9802
102,10200,0.04946063,20000.0,989.21265,0.98025
103,10300,0.049648818,20000.0,992.9763,0.9801
104,10400,0.049568184,20000.0,991.3637,0.98045
105,10500,0.0513988,20000.0,1027.976,0.97925
106,10600,0.049726117,20000.0,994.52234,0.9803
107,10700,0.049456727,20000.0,989.1345,0.98035
108,10800,0.051133808,20000.0,1022.67615,0.9792
109,10900,0.0499232,20000.0,998.464,0.9805
110,11000,0.049736977,20000.0,994.73956,0.98035
111,11100,0.04959985,20000.0,991.99695,0.97985
112,11200,0.049830988,20000.0,996.61975,0.98025
113,11300,0.049599126,20000.0,991.98254,0.98035
114,11400,0.049864553,20000.0,997.2911,0.98035
115,11500,0.04995218,20000.0,999.0436,0.98055
116,11600,0.04983636,20000.0,996.7272,0.98005
117,11700,0.049375135,20000.0,987.5027,0.9804
118,11800,0.049402155,20000.0,988.0431,0.98045
119,11900,0.049476977,20000.0,989.53955,0.9803
120,12000,0.04935316,20000.0,987.0632,0.98055
121,12100,0.04998016,20000.0,999.6032,0.9804
122,12200,0.049310993,20000.0,986.21985,0.9804
123,12300,0.049763028,20000.0,995.26056,0.9808
124,12400,0.049413893,20000.0,988.27783,0.98045
125,12500,0.050877247,20000.0,1017.5449,0.98015
126,12600,0.05143601,20000.0,1028.7202,0.97955
127,12700,0.049360286,20000.0,987.20575,0.9807
128,12800,0.049889773,20000.0,997.7955,0.98085
129,12900,0.049145177,20000.0,982.90356,0.9801
130,13000,0.0488967,20000.0,977.934,0.98025
131,13100,0.04943148,20000.0,988.62964,0.98045
132,13200,0.048844196,20000.0,976.8839,0.98015
133,13300,0.049947184,20000.0,998.94366,0.9801
134,13400,0.048910473,20000.0,978.2095,0.98045
135,13500,0.049001854,20000.0,980.03705,0.98075
136,13600,0.052481737,20000.0,1049.6348,0.9783
137,13700,0.048826784,20000.0,976.53564,0.98055
138,13800,0.049302436,20000.0,986.0487,0.98025
139,13900,0.04906579,20000.0,981.3158,0.98085
140,14000,0.049997162,20000.0,999.94324,0.9804
141,14100,0.048852026,20000.0,977.0405,0.98055
142,14200,0.048774213,20000.0,975.48425,0.9808
143,14300,0.04926196,20000.0,985.2392,0.9807
144,14400,0.048703037,20000.0,974.0607,0.98135
