,epoch,loss,n actions,sum loss,% correct
0,0,0.74738896,9900.0,7399.151,0.29141414
1,100,0.16500793,9900.0,1633.5786,0.940101
2,200,0.14604,9900.0,1445.7959,0.94151515
3,300,0.13523065,9900.0,1338.7834,0.9440404
4,400,0.12488234,9900.0,1236.3352,0.9470707
5,500,0.11544828,9900.0,1142.938,0.95757574
6,600,0.109914795,9900.0,1088.1565,0.96555555
7,700,0.10630203,9900.0,1052.3901,0.9661616
8,800,0.10389311,9900.0,1028.5417,0.96696967
9,900,0.10219418,9900.0,1011.7224,0.9684848
10,1000,0.100763425,9900.0,997.5579,0.96858585
11,1100,0.09899498,9900.0,980.0503,0.96858585
12,1200,0.096157745,9900.0,951.9617,0.96949494
13,1300,0.094656624,9900.0,937.1006,0.970101
14,1400,0.092230506,9900.0,913.08203,0.970202
15,1500,0.091608286,9900.0,906.922,0.96949494
16,1600,0.0929686,9900.0,920.3891,0.9682828
17,1700,0.0902851,9900.0,893.8225,0.970202
18,1800,0.09026039,9900.0,893.5778,0.97030306
19,1900,0.09144808,9900.0,905.33606,0.9706061
20,2000,0.091047786,9900.0,901.3731,0.969697
21,2100,0.089840434,9900.0,889.4203,0.970404
22,2200,0.089471735,9900.0,885.7702,0.96979797
23,2300,0.094104536,9900.0,931.6349,0.96929294
24,2400,0.089125834,9900.0,882.34576,0.9709091
25,2500,0.089258984,9900.0,883.66394,0.97050506
26,2600,0.087861694,9900.0,869.83075,0.97070706
27,2700,0.08802209,9900.0,871.4187,0.9711111
28,2800,0.08810771,9900.0,872.26636,0.97070706
29,2900,0.0875016,9900.0,866.2658,0.97121215
30,3000,0.08772066,9900.0,868.4346,0.9708081
31,3100,0.09539272,9900.0,944.38794,0.969899
32,3200,0.08760215,9900.0,867.26135,0.97141415
33,3300,0.08731435,9900.0,864.4121,0.9715152
34,3400,0.088150814,9900.0,872.69305,0.97121215
35,3500,0.09074964,9900.0,898.4214,0.9710101
36,3600,0.09005203,9900.0,891.51514,0.9709091
37,3700,0.08631635,9900.0,854.53186,0.9720202
38,3800,0.08621871,9900.0,853.5652,0.97141415
39,3900,0.08871026,9900.0,878.2316,0.97050506
40,4000,0.086813495,9900.0,859.4536,0.9711111
41,4100,0.09012005,9900.0,892.1885,0.9710101
42,4200,0.085740335,9900.0,848.82935,0.9718182
43,4300,0.085843414,9900.0,849.8498,0.9709091
44,4400,0.088176906,9900.0,872.95135,0.97121215
45,4500,0.0874332,9900.0,865.5886,0.97121215
46,4600,0.08656375,9900.0,856.98114,0.97141415
47,4700,0.08524905,9900.0,843.96564,0.97141415
48,4800,0.09563908,9900.0,946.8269,0.96676767
49,4900,0.0906261,9900.0,897.19836,0.969697
50,5000,0.088074744,9900.0,871.93994,0.97030306
51,5100,0.08670728,9900.0,858.4021,0.9718182
52,5200,0.0858042,9900.0,849.4616,0.9719192
53,5300,0.087731436,9900.0,868.5412,0.9710101
54,5400,0.086779736,9900.0,859.1194,0.9719192
55,5500,0.085086666,9900.0,842.358,0.9720202
56,5600,0.08510581,9900.0,842.5475,0.9720202
57,5700,0.0851751,9900.0,843.23346,0.9722222
58,5800,0.08403592,9900.0,831.95557,0.9722222
59,5900,0.10221766,9900.0,1011.95483,0.9681818
60,6000,0.084281206,9900.0,834.384,0.97282827
61,6100,0.086436495,9900.0,855.7213,0.9722222
62,6200,0.08559106,9900.0,847.3515,0.97262627
63,6300,0.09484634,9900.0,938.97876,0.969899
64,6400,0.08477032,9900.0,839.2262,0.97282827
65,6500,0.08511971,9900.0,842.6851,0.97242427
66,6600,0.08421612,9900.0,833.73956,0.97252524
67,6700,0.09662081,9900.0,956.546,0.969697
68,6800,0.085804835,9900.0,849.4679,0.97252524
69,6900,0.085047774,9900.0,841.97296,0.9720202
70,7000,0.084671356,9900.0,838.2464,0.9719192
71,7100,0.094770975,9900.0,938.23267,0.97
72,7200,0.08499158,9900.0,841.4167,0.9727273
73,7300,0.08393312,9900.0,830.9379,0.97262627
74,7400,0.094811805,9900.0,938.6369,0.96909094
75,7500,0.086073115,9900.0,852.12384,0.9717172
76,7600,0.088159695,9900.0,872.781,0.97141415
77,7700,0.085795455,9900.0,849.375,0.9729293
78,7800,0.08465293,9900.0,838.064,0.9729293
79,7900,0.089762755,9900.0,888.65125,0.97212124
80,8000,0.08452167,9900.0,836.7646,0.97262627
